"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"2","BATHGATE","01 ONE FAMILY DWELLINGS","4","$413,000","$492,000","$470,000","$615,000","2024"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","3","$885,000","$1,078,333.333333333","$1,175,000","$1,175,000","2024"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","9","$380,000","$656,058.7777777778","$500,000","$1,075,000","2024"
"5","WOODROW","02 TWO FAMILY DWELLINGS","27","$200,000","$919,925.925925926","$813,000","$1,575,000","2024"
"5","WOODROW","01 ONE FAMILY DWELLINGS","45","$405,600","$750,865.0666666667","$729,888","$2,250,000","2024"
"5","WILLOWBROOK","02 TWO FAMILY DWELLINGS","27","$600,000","$923,868.074074074","$895,000","$1,360,000","2024"
"5","WILLOWBROOK","01 ONE FAMILY DWELLINGS","54","$377,500","$776,758.7037037037","$750,000","$1,580,000","2024"
"5","WESTERLEIGH","02 TWO FAMILY DWELLINGS","34","$480,000","$840,552.9705882353","$867,500","$1,235,000","2024"
"5","WESTERLEIGH","01 ONE FAMILY DWELLINGS","77","$300,000","$675,892.8441558442","$670,000","$1,303,360","2024"
"5","WEST NEW BRIGHTON","03 THREE FAMILY DWELLINGS","1","$775,000","$775,000","$775,000","$775,000","2024"
"5","WEST NEW BRIGHTON","02 TWO FAMILY DWELLINGS","53","$200,000","$643,935.5094339623","$650,000","$1,011,122","2024"
"5","WEST NEW BRIGHTON","01 ONE FAMILY DWELLINGS","72","$254,000","$614,440.4444444445","$605,000","$1,746,000","2024"
"5","TRAVIS","02 TWO FAMILY DWELLINGS","5","$805,000","$1,033,081.6","$990,000","$1,196,444","2024"
"5","TRAVIS","01 ONE FAMILY DWELLINGS","26","$220,000","$619,416.6923076923","$625,000","$990,000","2024"
"5","TOTTENVILLE","03 THREE FAMILY DWELLINGS","2","$620,000","$635,000","$635,000","$650,000","2024"
"5","TOTTENVILLE","02 TWO FAMILY DWELLINGS","51","$456,000","$1,010,599.509803922","$1,050,000","$1,450,000","2024"
"5","TOTTENVILLE","01 ONE FAMILY DWELLINGS","94","$265,000","$805,623.8297872341","$720,500","$2,300,000","2024"
